ENN,2021ebit,2021payable,2021receivable,2022ebit,2022payable,2022receivable,2023ebit,2023payable,2023receivable,2024ebit,2024payable,2024receivable,2025ebit,2025payable,2025receivable
7327081674,254.0,,,269.0,,,1188.0,,,311.0,,,58.0,0.0,0.0
2130083379,3245.0,,,5812.0,,,5664.0,,,6291.0,,,,,
7804397292,8448.0,,0.0,6875.0,,0.0,12722.0,,0.0,35472.0,437.0,0.0,27978.0,0.0,0.0
2308109766,4109.0,,,9168.0,,,4745.0,,,10320.0,2048.0,,-1884.0,0.0,14018.0
7706108016,75644.0,453.0,9.0,38555.0,1564.0,0.0,10210.0,1503.0,0.0,46356.0,1590.0,0.0,11303.0,4100.0,0.0
1644054857,255.0,,0.0,550.0,,0.0,-198.0,,,-187.0,,,,,
7203382799,30273.0,2151.0,0.0,9732.0,644.0,,-36036.0,0.0,0.0,-3686.0,,0.0,,,
107025791,-1458.0,,16851.0,-9833.0,,24025.0,11621.0,,15753.0,26366.0,,13298.0,31633.0,0.0,14796.0
7817066450,6610.0,,0.0,7307.0,,0.0,5277.0,,0.0,2833.0,,0.0,2862.0,0.0,0.0
5916013134,3432.0,0.0,0.0,1555.0,0.0,0.0,10301.0,,0.0,478.0,,0.0,5296.0,0.0,0.0
3016043781,-92121.0,343.0,839.0,-38519.0,318.0,0.0,0.0,0.0,,-158312.0,,,-1315.0,0.0,0.0
2130209261,8062.0,,,2327.0,,,2954.0,589.0,,1203.0,1246.0,747.0,9712.0,0.0,0.0
2464254778,1778.0,136.0,0.0,3524.0,33.0,0.0,21379.0,0.0,0.0,-4783.0,,0.0,-41830.0,0.0,0.0
6612031983,4386.0,,,11883.0,,,3603.0,,,1555.0,,,10312.0,0.0,0.0
7701704135,9094.0,3686.0,585.0,2721.0,2984.0,972.0,17369.0,8892.0,1088.0,2745.0,1307.0,611.0,8964.0,8583.0,817.0
2536332604,,,,114340.0,213.0,,45246.0,0.0,360.0,48748.0,,305.0,31393.0,0.0,0.0
5503081397,3747.0,,,5104.0,,,30457.0,16787.0,686.0,40583.0,23484.0,1797.0,33213.0,2066.0,3660.0
711018573,-1628.0,,,2151.0,,0.0,1442.0,0.0,0.0,-1362.0,0.0,0.0,58.0,0.0,0.0
6678100317,150.0,,,472.0,,,2146.0,,,979.0,,1181.0,-1625.0,0.0,2052.0
4205198334,,,,11095.0,39.0,0.0,-2627.0,0.0,0.0,-8234.0,0.0,0.0,,,
277958611,,,,11627.0,,,23766.0,,,-32576.0,,,,,
1001183454,887.0,,,77.0,0.0,0.0,1069.0,0.0,0.0,188.0,0.0,0.0,179.0,0.0,0.0
5905287253,2922.0,,,3176.0,,0.0,,,,,,,,,
5261041057,12765.0,78.0,205.0,2212.0,2.0,952.0,11024.0,1.0,400.0,39578.0,0.0,2431.0,28861.0,0.0,3943.0
3525347689,771.0,650.0,0.0,673.0,272.0,12.0,312.0,120.0,54.0,1489.0,1298.0,14.0,1137.0,0.0,0.0
9704054104,-2782.0,,2.0,4552.0,56.0,680.0,-4930.0,36.0,60.0,-5959.0,13.0,3.0,-712.0,0.0,0.0
4013004634,5838.0,422.0,0.0,3791.0,0.0,0.0,520.0,,0.0,21.0,,0.0,,,
5029106859,843.0,99.0,0.0,392.0,182.0,,2169.0,5134.0,911.0,-6350.0,3005.0,4881.0,-4452.0,3660.0,4631.0
9729225111,,,,210.0,,0.0,,,,,,,,,
8616012946,2090.0,,,-2263.0,,,743.0,,,-3947.0,,,606.0,0.0,0.0
5433197275,35629.0,24067.0,,15345.0,11365.0,633.0,13860.0,11796.0,8288.0,23652.0,23371.0,11779.0,18744.0,9215.0,0.0
3310000302,462.0,,0.0,-2646.0,,0.0,2320.0,0.0,0.0,-3033.0,0.0,0.0,912.0,0.0,0.0
6164108822,17180.0,,179.0,26136.0,3781.0,221.0,99137.0,8492.0,1965.0,23098.0,6742.0,2609.0,42672.0,14195.0,11592.0
5077028618,215.0,,0.0,592.0,,0.0,-1978.0,,0.0,,,,924.0,0.0,0.0
6452059466,5284.0,1457.0,1686.0,18408.0,1087.0,1263.0,10023.0,5639.0,2932.0,9649.0,10373.0,7656.0,2950.0,10595.0,9571.0
9728021845,,,,178.0,,0.0,0.0,,0.0,81.0,,0.0,,,
3127502303,21905.0,0.0,0.0,27603.0,,0.0,43385.0,,0.0,46914.0,,0.0,,,
6164319076,9892.0,,,3128.0,,,127739.0,,,-90886.0,,5.0,19872.0,416.0,0.0
7455029609,4225.0,266.0,0.0,3528.0,321.0,0.0,628.0,93.0,0.0,1098.0,0.0,0.0,2125.0,1486.0,0.0
7704795660,3921.0,3625.0,,730.0,0.0,,186.0,,,661.0,,,56942.0,47377.0,0.0
2536070927,3588.0,326.0,364.0,-10240.0,0.0,10.0,418.0,31.0,0.0,-328.0,0.0,,-6008.0,0.0,0.0
