Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Юридическое лицо,Малое предприятие,5029014809,50 - Московская область,г Мытищи,д Аббакумово,10.10.2023,Да,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Юридическое лицо,Малое предприятие,9102046280,91 - Республика Крым,г Симферополь,,10.08.2017,Нет,26.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Юридическое лицо,Малое предприятие,2304016990,23 - Краснодарский край,г Геленджик,,10.08.2017,Да,71.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Юридическое лицо,Малое предприятие,3128065293,31 - Белгородская область,г Старый Оскол,,10.08.2017,Нет,14.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Юридическое лицо,Малое предприятие,7414000992,74 - Челябинская область,г Магнитогорск,,10.08.2017,Да,2.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Юридическое лицо,Малое предприятие,541000015,05 - Республика Дагестан,г Махачкала,,10.08.2019,Нет,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",Юридическое лицо,Малое предприятие,3663001942,36 - Воронежская область,г Воронеж,,10.08.2017,Нет,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",Юридическое лицо,Малое предприятие,2108002261,21 - Чувашская Республика - Чувашия,,с Комсомольское,10.08.2017,Нет,11.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",Юридическое лицо,Малое предприятие,7710478789,77 - г.Москва,,,10.08.2020,Нет,14.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",Юридическое лицо,Малое предприятие,8003021109,75 - Забайкальский край,,пгт Могойтуй,10.08.2017,Нет,15.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",Юридическое лицо,Среднее предприятие,1830000270,18 - Удмуртская Республика,г Можга,,10.07.2023,Да,220.0
