Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ ОТДЕЛОЧНОЕ УПРАВЛЕНИЕ № 2""",Юридическое лицо,Малое предприятие,7702020219,77 - г.Москва,,,10.03.2021,Да,57.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ УПРАВЛЕНИЕ ИНЖЕНЕРНЫХ РАБОТ""",Юридическое лицо,Малое предприятие,7701969903,77 - г.Москва,,,10.08.2017,Нет,51.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВИКТОРИЯ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,5053033231,50 - Московская область,г. Электросталь,,10.08.2017,Нет,4.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЕЙСК-ЭКС-ПОРТ""",Юридическое лицо,Малое предприятие,2306000450,23 - Краснодарский край,г Ейск,,10.08.2017,Да,50.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНВЕСТИЦИОННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ - ""ЧЕСТР-ГРУПП""",Юридическое лицо,Среднее предприятие,2126003691,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.08.2018,Нет,143.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНКОСТ""",Юридическое лицо,Среднее предприятие,2129003280,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.08.2017,Да,222.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОМПЛЕКТ""",Юридическое лицо,Малое предприятие,3235001826,32 - Брянская область,г Брянск,,10.08.2017,Да,42.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОНТИНЕНТ""",Юридическое лицо,Малое предприятие,1215048572,12 - Республика Марий Эл,г Йошкар-Ола,,10.08.2017,Нет,21.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОШЕЛЕВ - ПРОЕКТ САМАРА""",Юридическое лицо,Малое предприятие,6312134360,50 - Московская область,,,10.07.2023,Да,92.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОШЕЛЕВ-ПРОЕКТ""",Юридическое лицо,Малое предприятие,6312102986,50 - Московская область,,,10.08.2022,Нет,104.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ВУРНАРСКАЯ""",Юридическое лицо,Малое предприятие,2104000471,21 - Чувашская Республика - Чувашия,,пгт Вурнары,10.08.2017,Нет,43.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Юридическое лицо,Среднее предприятие,1215014090,12 - Республика Марий Эл,г Йошкар-Ола,,10.08.2017,Да,107.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПРОЕКТНО-СТРОИТЕЛЬНАЯ ФИРМА ""ИНСТРОЙ""",Юридическое лицо,Малое предприятие,2902001119,29 - Архангельская область,г Архангельск,,10.08.2017,Нет,20.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ВЕК""",Юридическое лицо,Среднее предприятие,1001010821,10 - Республика Карелия,г Петрозаводск,,10.08.2017,Нет,156.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНЫЙ ТРЕСТ №3""",Юридическое лицо,Среднее предприятие,2128007123,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.08.2017,Нет,62.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ТУС""",Юридическое лицо,Среднее предприятие,2129005369,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.08.2018,Да,28.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЭКРАН""",Юридическое лицо,Малое предприятие,7705014485,77 - г.Москва,,,10.08.2017,Нет,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК БЕРЕНДЕЙ""",Юридическое лицо,Малое предприятие,5016018436,50 - Московская область,,,10.08.2017,Нет,5.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КОМФОРТ-НК""",Юридическое лицо,Малое предприятие,1651000330,16 - Республика Татарстан (Татарстан),г Нижнекамск,,10.08.2017,Да,49.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПМК-5""",Юридическое лицо,Малое предприятие,1215012600,12 - Республика Марий Эл,г Йошкар-Ола,,10.10.2022,Да,57.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦКАУЧУКРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,1659000692,16 - Республика Татарстан (Татарстан),г Казань,,10.08.2017,Да,27.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦМОНТАЖСТРОЙ-5""",Юридическое лицо,Малое предприятие,7710100355,50 - Московская область,г Химки,,10.08.2017,Да,33.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦМОНТАЖСТРОЙ""",Юридическое лицо,Малое предприятие,3811167567,38 - Иркутская область,г Иркутск,,10.08.2017,Нет,71.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦСТРОЙЗАЩИТА""",Юридическое лицо,Малое предприятие,7606011268,76 - Ярославская область,г Ярославль,,10.08.2018,Да,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦУПРАВЛЕНИЕ № 5""",Юридическое лицо,Малое предприятие,3610007820,36 - Воронежская область,,п Пригородный,10.08.2017,Нет,25.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПОРТИКО""",Юридическое лицо,Малое предприятие,7714797240,77 - г.Москва,,,10.08.2017,Нет,44.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬ""",Юридическое лицо,Среднее предприятие,5238000045,52 - Нижегородская область,,рп Шатки,10.08.2020,Да,221.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬ""",Юридическое лицо,Малое предприятие,2528000901,25 - Приморский край,,пгт Пластун,10.08.2017,Нет,66.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ИНСАР МОРДОВИЯ""",Юридическое лицо,Малое предприятие,1300008210,13 - Республика Мордовия,г Саранск,,10.11.2023,Нет,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ПОЛЁТ""",Юридическое лицо,Малое предприятие,5406293244,54 - Новосибирская область,г Новосибирск,,10.08.2017,Да,2.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ЭНЕРГИЯ""",Юридическое лицо,Малое предприятие,6686038662,66 - Свердловская область,г Екатеринбург,,10.08.2017,Нет,27.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ГОРОДА ВЫБОРГА""",Юридическое лицо,Малое предприятие,4704057466,78 - г.Санкт-Петербург,,,10.08.2017,Да,22.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ДАЛЬНИЙ ВОСТОК""",Юридическое лицо,Малое предприятие,2538066595,25 - Приморский край,г Владивосток,,10.08.2017,Да,19.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ПРАЙД""",Юридическое лицо,Малое предприятие,7730247451,77 - г.Москва,,,10.12.2018,Нет,14.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ №1""",Юридическое лицо,Среднее предприятие,2801016951,28 - Амурская область,г Благовещенск,,10.07.2021,Да,0.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНО-МОНТАЖНАЯ КОМПАНИЯ ""СТОЛИЦА""",Юридическое лицо,Малое предприятие,7710442630,77 - г.Москва,,,10.08.2019,Нет,12.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНО-МОНТАЖНАЯ КОМПАНИЯ ""ЧЕРМЕТЭКОЛОГИЯ""",Юридическое лицо,Среднее предприятие,3528001689,78 - г.Санкт-Петербург,,,10.08.2017,Да,133.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНО-МОНТАЖНОЕ УПРАВЛЕНИЕ № 1""",Юридическое лицо,Малое предприятие,3729011599,37 - Ивановская область,г Иваново,,10.08.2017,Нет,24.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНО-МОНТАЖНОЕ УПРАВЛЕНИЕ №2 ТРЕСТА №16""",Юридическое лицо,Малое предприятие,7825405201,78 - г.Санкт-Петербург,,,10.09.2021,Да,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 288""",Юридическое лицо,Малое предприятие,7808003527,78 - г.Санкт-Петербург,,,10.08.2017,Да,46.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ-305""",Юридическое лицо,Малое предприятие,7810182560,78 - г.Санкт-Петербург,,,10.08.2017,Да,53.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОИТЕЛЬНЫЙ ХОЛДИНГ ТЕЗИС""",Юридическое лицо,Среднее предприятие,4632297547,46 - Курская область,г Курск,,10.08.2023,Нет,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙ СИТИ""",Юридическое лицо,Малое предприятие,7751046749,77 - г.Москва,г Троицк,,10.08.2018,Нет,7.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7825697956,78 - г.Санкт-Петербург,,,10.08.2017,Да,56.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,2634011648,26 - Ставропольский край,г Ставрополь,,10.08.2017,Да,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙСПЕЦКОМПЛЕКТРЕСУРС""",Юридическое лицо,Малое предприятие,7728245263,77 - г.Москва,,,10.08.2017,Да,5.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУ-6 БЕЛГОРОДСТРОЙ""",Юридическое лицо,Малое предприятие,3123004106,31 - Белгородская область,г Белгород,,10.08.2017,Да,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОМСТРОЙ""",Юридическое лицо,Малое предприятие,7704027964,50 - Московская область,,п Авсюнино,10.08.2017,Да,87.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОИНДУСТРИЯ""",Юридическое лицо,Малое предприятие,7712103721,77 - г.Москва,,,10.08.2017,Да,26.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕХНОЛОГИЧЕСКИЕ РЕШЕНИЯ""",Юридическое лицо,Среднее предприятие,7708251822,50 - Московская область,г Химки,,10.08.2017,Да,0.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОБОЛЬСКСТРОЙМЕХАНИЗАЦИЯ""",Юридическое лицо,Среднее предприятие,7206000783,72 - Тюменская область,г Тобольск,,10.08.2018,Да,106.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОРОС""",Юридическое лицо,Среднее предприятие,7733043569,77 - г.Москва,,,10.08.2019,Да,28.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНС-СЕВЕР""",Юридическое лицо,Малое предприятие,6617006973,13 - Республика Мордовия,г Саранск,,10.08.2017,Нет,62.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСЕРВИС""",Юридическое лицо,Малое предприятие,5407181328,54 - Новосибирская область,г Новосибирск,,10.08.2017,Да,20.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРЕСТ МОСОБЛСТРОЙ №6""",Юридическое лицо,Малое предприятие,5032001704,50 - Московская область,,,10.08.2017,Нет,44.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРЕСТ № 68""",Юридическое лицо,Среднее предприятие,7817014691,78 - г.Санкт-Петербург,,п Металлострой,10.08.2018,Да,122.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРИУМФ""",Юридическое лицо,Малое предприятие,7729279642,77 - г.Москва,,,10.08.2017,Нет,7.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТСНРУ""",Юридическое лицо,Среднее предприятие,1657102836,77 - г.Москва,,,10.08.2017,Да,71.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛТРАНССВЯЗЬ""",Юридическое лицо,Среднее предприятие,7714474168,77 - г.Москва,,,10.08.2021,Да,127.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРЮПИНСКАЯ ПМК-113 СЕЛЬХОЗВОДСТРОЙ""",Юридическое лицо,Малое предприятие,3438004903,34 - Волгоградская область,г Урюпинск,,10.08.2017,Нет,31.0
